TRADEDATE,CLOSE
13.11.2020,3025.22
16.11.2020,3079.74
17.11.2020,3052.22
18.11.2020,3080.68
19.11.2020,3046.49
20.11.2020,3051.04
23.11.2020,3047.06
24.11.2020,3095.84
25.11.2020,3134.52
26.11.2020,3138.62
27.11.2020,3142.68
30.11.2020,3107.58
01.12.2020,3147.79
02.12.2020,3189.61
03.12.2020,3162.67
04.12.2020,3184.72
07.12.2020,3195.08
08.12.2020,3179.61
09.12.2020,3211.66
10.12.2020,3258.31
11.12.2020,3276.58
14.12.2020,3254.83
15.12.2020,3248.11
16.12.2020,3269.95
17.12.2020,3282.67
18.12.2020,3273.75
21.12.2020,3186.38
22.12.2020,3236.46
23.12.2020,3252.01
24.12.2020,3236.88
25.12.2020,3246.35
28.12.2020,3258.95
29.12.2020,3274.67
30.12.2020,3289.02
04.01.2021,3350.51
05.01.2021,3359.15
06.01.2021,3371.03
08.01.2021,3454.82
11.01.2021,3482.48
12.01.2021,3471.65
13.01.2021,3470.26
14.01.2021,3490.85
15.01.2021,3450.95
18.01.2021,3471.92
19.01.2021,3443.23
20.01.2021,3466.08
21.01.2021,3422.67
22.01.2021,3382.92
25.01.2021,3397.48
26.01.2021,3390.76
27.01.2021,3343.62
28.01.2021,3342.01
29.01.2021,3277.08
01.02.2021,3291.14
02.02.2021,3360.25
03.02.2021,3343.46
04.02.2021,3372.23
05.02.2021,3392.73
08.02.2021,3445.09
09.02.2021,3426.86
10.02.2021,3399.66
11.02.2021,3414.32
12.02.2021,3427.08
15.02.2021,3481.09
16.02.2021,3495.26
17.02.2021,3436.08
18.02.2021,3400.17
19.02.2021,3457.68
20.02.2021,3446.32
22.02.2021,3433.93
24.02.2021,3385.48
25.02.2021,3409.76
26.02.2021,3346.64
01.03.2021,3386.16
02.03.2021,3410.01
03.03.2021,3416.04
04.03.2021,3397.56
05.03.2021,3414.13
09.03.2021,3478.72
10.03.2021,3463.06
11.03.2021,3508.51
12.03.2021,3539.05
15.03.2021,3584.49
16.03.2021,3589.83
17.03.2021,3507.91
18.03.2021,3504.85
19.03.2021,3475.26
22.03.2021,3489.07
23.03.2021,3467.21
24.03.2021,3485.33
25.03.2021,3439.03
26.03.2021,3489.83
29.03.2021,3529.33
30.03.2021,3525.23
31.03.2021,3541.72
01.04.2021,3527.54
02.04.2021,3558.22
05.04.2021,3524.93
06.04.2021,3493.89
07.04.2021,3500.34
08.04.2021,3507.83
09.04.2021,3486.03
12.04.2021,3522.65
13.04.2021,3526.03
14.04.2021,3576.89
15.04.2021,3568.51
16.04.2021,3598.44
19.04.2021,3574.08
20.04.2021,3552.41
21.04.2021,3561.72
22.04.2021,3600.35
23.04.2021,3597.17
26.04.2021,3610.98
27.04.2021,3600.06
28.04.2021,3578.12
29.04.2021,3571.05
30.04.2021,3544.03
04.05.2021,3577.21
05.05.2021,3643.56
06.05.2021,3658.27
07.05.2021,3682.69
10.05.2021,3694.78
11.05.2021,3652.05
12.05.2021,3654.14
13.05.2021,3637.38
14.05.2021,3637.06
17.05.2021,3639.61
18.05.2021,3687.96
19.05.2021,3634.76
20.05.2021,3636.16
21.05.2021,3660.48
24.05.2021,3662.51
25.05.2021,3686.76
26.05.2021,3711.05
27.05.2021,3738.68
28.05.2021,3730.55
31.05.2021,3721.63
01.06.2021,3764.59
02.06.2021,3817.68
03.06.2021,3805.45
04.06.2021,3807.43
07.06.2021,3822.21
08.06.2021,3807.43
09.06.2021,3843.28
10.06.2021,3827.71
11.06.2021,3841.53
14.06.2021,3860.18
15.06.2021,3822.04
16.06.2021,3829.67
17.06.2021,3819.07
18.06.2021,3802.95
21.06.2021,3813.45
22.06.2021,3821.68
23.06.2021,3837.15
24.06.2021,3823.44
25.06.2021,3831.84
28.06.2021,3825.57
29.06.2021,3790.85
30.06.2021,3841.85
01.07.2021,3858.32
02.07.2021,3865.42
05.07.2021,3882.59
06.07.2021,3884.03
07.07.2021,3895.01
08.07.2021,3861.08
09.07.2021,3855.31
12.07.2021,3875.61
13.07.2021,3877.03
14.07.2021,3832.85
15.07.2021,3799.97
16.07.2021,3770.15
19.07.2021,3693.42
20.07.2021,3704.04
21.07.2021,3722.96
22.07.2021,3754.44
23.07.2021,3734.54
26.07.2021,3750.01
27.07.2021,3733.01
28.07.2021,3782.28
29.07.2021,3804.33
30.07.2021,3771.58
02.08.2021,3788.01
03.08.2021,3793.69
04.08.2021,3810.62
05.08.2021,3833.75
06.08.2021,3805.36
09.08.2021,3835.11
10.08.2021,3862.32
11.08.2021,3877.37
12.08.2021,3888.86
13.08.2021,3873.62
